iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
CZE,Czechia,2021,232961.75,3371.8,3913.82,65.09,63.48,22.99,180.68,910.24,55.17043835616439,10493990
CZE,Czechia,2022,428879.72,3944.36,4400.77,66.49,65.69,49,56.89,412.14,18.49942465753428,10493990
CZE,Czechia,2023,444722.84,4061.94,4199.33,66.53,65.71,52.98,9.05,117.88,NA,10493990
CZE,Czechia,2024,446155.97,4076.47,NA,66.53,65.71,53.19,6.67,73.76,NA,10493990
DEU,Germany,2020,19743.76,559.06,294.02,0.25,NA,NA,67.76,NA,52.38530386740331,83369840
DEU,Germany,2021,83414.88,1399.66,1059.73,75.27,70.96,41.19,69.1,NA,61.24076712328772,83369840
DEU,Germany,2022,442901.72,1971.05,2179.87,77.8,76.23,77.23,45.88,NA,19.051506849315036,83369840
DEU,Germany,2023,457123.1,2080.95,2896.07,77.82,76.24,77.72,16.72,NA,NA,83369840
DEU,Germany,2024,457123.1,2080.95,NA,NA,NA,NA,NA,NA,NA,83369840
DJI,Djibouti,2020,5105.09,53.64,NA,NA,NA,NA,NA,NA,46.73668508287295,1120851
DJI,Djibouti,2021,11932.11,166.21,NA,3.45,2.33,NA,NA,NA,42.17846575342467,1120851
DJI,Djibouti,2022,13798.26,166.21,NA,28.32,26.5,NA,NA,NA,31.099890410958903,1120851
DJI,Djibouti,2023,13798.26,166.21,NA,37.61,35.79,NA,NA,NA,NA,1120851
DJI,Djibouti,2024,13798.26,166.21,NA,NA,NA,NA,NA,NA,NA,1120851
DMA,Dominica,2020,1436.05,0,NA,NA,NA,NA,NA,NA,37.455828729281755,72758
DMA,Dominica,2021,98115.18,673.15,NA,40.44,37.96,NA,NA,NA,44.170876712328784,72758
DMA,Dominica,2022,235751.69,1106.96,NA,45.35,42.14,5.49,NA,NA,38.31358904109592,72758
DMA,Dominica,2023,240044.88,1106.96,NA,NA,NA,NA,NA,NA,NA,72758
DMA,Dominica,2024,240044.88,1106.96,NA,NA,NA,NA,NA,NA,NA,72758
DNK,Denmark,2020,25608.95,196.34,-127.68,0,NA,NA,26.01,157.42,46.877348066298346,5882259
DNK,Denmark,2021,118172.97,541.6,136.87,79.79,76.63,46.34,23.97,163.88,46.205589041095905,5882259
DNK,Denmark,2022,572913.7,1306.48,674.96,80.68,80.09,61.44,13.94,299.54,13.334821917808215,5882259
DNK,Denmark,2023,581467.94,1608.19,969.06,80.69,80.11,61.49,3.74,109.99,NA,5882259
DNK,Denmark,2024,582032.56,1642.08,NA,NA,NA,NA,NA,NA,NA,5882259
DOM,Dominican Republic,2020,14775.52,214.06,221.97,NA,NA,NA,NA,NA,63.94121546961323,11228821
DOM,Dominican Republic,2021,36853.07,377.27,709.27,61.79,50.76,12.9,NA,NA,60.44868493150684,11228821
DOM,Dominican Republic,2022,58641.49,390.36,732.15,65.01,54.07,22.39,NA,NA,11.384027397260269,11228821
DOM,Dominican Republic,2023,58865.52,390.36,644.14,65.61,54.6,22.93,NA,NA,NA,11228821
DOM,Dominican Republic,2024,58865.52,390.36,NA,NA,NA,NA,NA,NA,NA,11228821
DZA,Algeria,2020,2151.77,59.85,1273.36,NA,NA,NA,1.49,NA,60.88975138121549,44903228
DZA,Algeria,2021,4757.88,136.97,2801.81,15.72,12.49,0.06,1.16,NA,59.29178082191782,44903228
DZA,Algeria,2022,5963.27,151.31,2952.57,17.46,14.43,1.28,1.09,NA,25.554630136986294,44903228
DZA,Algeria,2023,5981.21,151.31,2765.35,NA,NA,NA,NA,NA,NA,44903228
DZA,Algeria,2024,5984.05,151.31,NA,NA,NA,NA,NA,NA,NA,44903228
ECU,Ecuador,2020,11741.2,784.9,2285.2,NA,NA,NA,NA,NA,59.536519337016614,18001002
ECU,Ecuador,2021,30373.15,1887.75,3815.59,79.02,70.5,6.27,NA,NA,59.490136986301366,18001002
ECU,Ecuador,2022,58374.6,2016.06,4366.6,85.08,78.97,57.39,NA,NA,24.811260273972593,18001002
ECU,Ecuador,2023,59941.93,2021.11,4708.31,85.18,79.11,58.64,NA,NA,NA,18001002
ECU,Ecuador,2024,60449.45,2022.56,NA,NA,NA,NA,NA,NA,NA,18001002
EGY,Egypt,2020,1166.02,65.28,969.09,NA,NA,NA,NA,NA,60.46745856353593,110990096
EGY,Egypt,2021,3378.85,191.54,2615.23,29.82,18.58,NA,NA,NA,44.260438356164386,110990096
EGY,Egypt,2022,4577.54,220.23,2995.02,48.41,36.12,8.93,NA,NA,25.706767123287666,110990096
EGY,Egypt,2023,4582.05,220.48,3175.44,51.27,38.15,13.71,NA,NA,NA,110990096
EGY,Egypt,2024,4582.05,220.48,NA,NA,NA,NA,NA,NA,NA,110990096
ERI,Eritrea,2020,292.42,0.29,NA,NA,NA,NA,NA,NA,0,3684041
ERI,Eritrea,2021,2309.17,21.12,NA,NA,NA,NA,NA,NA,NA,3684041
ERI,Eritrea,2022,2988.46,30.21,NA,NA,NA,NA,NA,NA,NA,3684041
ERI,Eritrea,2023,2988.46,30.21,NA,NA,NA,NA,NA,NA,NA,3684041
ERI,Eritrea,2024,2988.46,30.21,NA,NA,NA,NA,NA,NA,NA,3684041
ESH,Western Sahara,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,576005
ESP,Spain,2020,40134.09,1128.28,1470.96,NA,NA,NA,66.55,379.01,56.89395027624307,47558632
ESP,Spain,2021,127542.21,1908.39,2034.08,83.4,79.63,28.9,102.9,568.33,55.437753424657544,47558632
ESP,Spain,2022,287589.94,2486.87,2906.97,86.91,85.62,55.49,47.35,361.93,23.13599999999997,47558632
ESP,Spain,2023,292302.16,2547.69,3152.11,86.95,85.66,55.85,4.9,75.38,NA,47558632
ESP,Spain,2024,292302.16,2547.69,NA,NA,NA,NA,NA,NA,NA,47558632
EST,Estonia,2020,22984.36,210.36,77.63,0.19,0.01,NA,52.79,337.09,36.78560773480664,1326064
EST,Estonia,2021,167995.22,1353.98,2224.87,63.5,62.42,24.98,52.03,552.76,38.12265753424657,1326064
EST,Estonia,2022,440130.75,2019.86,3296.9,65.5,64.93,44.52,17.34,528.63,21.536712328767095,1326064
EST,Estonia,2023,450770.03,2201.33,3479,65.61,65.05,49.44,9.05,192.3,NA,1326064
EST,Estonia,2024,452169.94,2220.59,NA,65.62,65.06,49.73,NA,NA,NA,1326064
ETH,Ethiopia,2020,976.3,15.16,NA,NA,NA,NA,NA,NA,57.10787292817677,123379928
ETH,Ethiopia,2021,3156.3,54.98,NA,7.57,NA,NA,NA,NA,43.71717808219178,123379928
ETH,Ethiopia,2022,3964.58,60.39,NA,34.94,29.75,1.96,NA,NA,34.879835616438356,123379928
ETH,Ethiopia,2023,3996.65,60.41,NA,42.54,35.38,4.85,NA,NA,NA,123379928
ETH,Ethiopia,2024,3997.26,60.41,NA,NA,NA,NA,NA,NA,NA,123379928
FIN,Finland,2020,6832.46,110.96,76.5,NA,NA,NA,14.98,51.26,39.15947513812154,5540745
FIN,Finland,2021,57966.9,329.66,513.89,77.16,73.73,20.44,11.55,67.86,42.453205479452066,5540745
FIN,Finland,2022,261460.02,1561.78,1876.03,81.65,78.44,77.2,11.73,196.54,16.356191780821902,5540745
FIN,Finland,2023,269281.97,2048.37,2894.68,81.65,78.46,80.39,NA,NA,NA,5540745
FIN,Finland,2024,269281.97,2058.79,NA,81.65,78.46,80.42,NA,NA,NA,5540745
FJI,Fiji,2020,50.03,2.17,500.85,NA,NA,NA,NA,NA,50.7245856353591,929769
FJI,Fiji,2021,57583.63,758.08,2112.34,71.14,65.13,NA,NA,NA,73.25720547945208,929769
FJI,Fiji,2022,74722.55,958.2,NA,76.53,68.89,18.31,NA,NA,38.65435616438355,929769
FJI,Fiji,2023,75097.78,962.56,NA,76.58,68.96,18.5,NA,NA,NA,929769
FJI,Fiji,2024,75097.78,962.56,NA,NA,NA,NA,NA,NA,NA,929769
FLK,Falkland Islands,2020,8250.36,0,NA,NA,NA,NA,NA,NA,NA,3801
FLK,Falkland Islands,2021,23044.1,0,NA,69.24,46.7,NA,NA,NA,NA,3801
FLK,Falkland Islands,2022,547083.94,0,NA,NA,NA,NA,NA,NA,NA,3801
FLK,Falkland Islands,2023,547083.94,0,NA,NA,NA,NA,NA,NA,NA,3801
FLK,Falkland Islands,2024,547083.94,0,NA,NA,NA,NA,NA,NA,NA,3801
FRA,France,2020,36377.6,988.43,712.01,0,0,NA,103.5,493.5,54.89303867403317,67813000
FRA,France,2021,135505.23,1931.7,1214.19,78.5,73.21,33.1,88.49,461,52.6783287671233,67813000
FRA,France,2022,591024.8,2515.14,1838.96,80.58,78.38,68.94,58.76,493.22,19.813260273972624,67813000
FRA,France,2023,606706,2614.4,1920.3,80.63,78.44,70.35,21.78,356.23,NA,67813000
FRA,France,2024,606706,2615.09,NA,NA,NA,NA,NA,NA,NA,67813000
FRO,Faroe Islands,2020,10621.96,0,-1147.98,NA,NA,NA,NA,NA,NA,53117
FRO,Faroe Islands,2021,95301.54,240.57,-1201.93,78.01,76.3,26.87,NA,NA,36.205756676557854,53117
FRO,Faroe Islands,2022,641351.6,518.14,-346.41,78.53,76.99,40.07,NA,NA,27.307543859649126,53117
FRO,Faroe Islands,2023,641351.6,518.14,-1058.26,NA,NA,NA,NA,NA,NA,53117
FRO,Faroe Islands,2024,641351.6,518.14,NA,NA,NA,NA,NA,NA,NA,53117
FSM,Micronesia (country),2020,0,0,NA,NA,NA,NA,NA,NA,NA,114178
FSM,Micronesia (country),2021,0,0,NA,NA,NA,NA,NA,NA,NA,114178
FSM,Micronesia (country),2022,196826.73,517.28,NA,NA,NA,NA,NA,NA,NA,114178
FSM,Micronesia (country),2023,236764.66,579.72,NA,NA,NA,NA,NA,NA,NA,114178
FSM,Micronesia (country),2024,283302.4,579.72,NA,NA,NA,NA,NA,NA,NA,114178
GAB,Gabon,2020,3907.02,26.33,NA,NA,NA,NA,NA,NA,62.6665745856354,2388997
GAB,Gabon,2021,15990.94,118.07,NA,9.2,7.25,NA,NA,NA,62.33534246575343,2388997
GAB,Gabon,2022,20149.73,125.89,NA,13.02,10.77,0.11,NA,NA,18.03123287671234,2388997
GAB,Gabon,2023,20179.35,126.3,NA,13.03,10.78,0.11,NA,NA,NA,2388997
GAB,Gabon,2024,20179.35,126.3,NA,NA,NA,NA,NA,NA,NA,2388997
GBR,United Kingdom,2020,34386.28,1327.02,1157.59,NA,NA,NA,48.9,386.48,57.53756906077343,67508936
GBR,United Kingdom,2021,184436.86,2583.76,2028.02,76.71,70.26,50.5,60.39,573.92,57.81564383561642,67508936
GBR,United Kingdom,2022,354345.56,3158.51,2703.83,79.71,75.19,59.81,13.33,298.15,14.444301369863012,67508936
GBR,United Kingdom,2023,364703.84,3404.43,3472.64,NA,NA,NA,NA,173.9,NA,67508936
GBR,United Kingdom,2024,366308,3404.43,NA,NA,NA,NA,NA,NA,NA,67508936
GEO,Georgia,2020,58397.28,626.39,1356.7,NA,NA,NA,NA,NA,60.42292817679557,3744385
GEO,Georgia,2021,243589.16,3560.68,5456.17,36.43,30.68,NA,NA,NA,55.50580821917811,3744385
GEO,Georgia,2022,476754.28,4452.96,6951.21,44.19,34.08,2.16,NA,NA,15.238191780821953,3744385
GEO,Georgia,2023,489351.3,4516.99,7002.32,NA,NA,NA,NA,NA,NA,3744385
GEO,Georgia,2024,491099.22,4519.36,NA,NA,NA,NA,NA,NA,NA,3744385
GGY,Guernsey,2020,4658.97,250.99,NA,NA,NA,NA,NA,NA,NA,63329
GGY,Guernsey,2021,104254.25,360.8,NA,52.06,21.5,NA,NA,NA,NA,63329
GGY,Guernsey,2022,530118.56,941.21,NA,85.62,83.23,109.49,NA,NA,NA,63329
GGY,Guernsey,2023,554150.6,1051.01,NA,NA,NA,NA,NA,NA,NA,63329
GGY,Guernsey,2024,554150.6,1051.01,NA,NA,NA,NA,NA,NA,NA,63329
GHA,Ghana,2020,1649.54,10.11,NA,NA,NA,NA,NA,NA,43.00207182320443,33475870
GHA,Ghana,2021,4262.4,38.83,NA,17.25,6.97,NA,NA,NA,42.84115068493151,33475870
GHA,Ghana,2022,5159.65,44.07,NA,36.33,27.43,8.2,NA,NA,42.371123287671246,33475870
GHA,Ghana,2023,5183.66,44.1,NA,41.42,32.2,14.36,NA,NA,NA,33475870
GHA,Ghana,2024,5190.54,44.1,NA,NA,NA,NA,NA,NA,NA,33475870
GIB,Gibraltar,2020,40551.67,159.44,-1062.95,NA,NA,NA,NA,NA,NA,32677
GIB,Gibraltar,2021,216364.17,2657.38,599.43,126,122.61,82.89,NA,NA,NA,32677
GIB,Gibraltar,2022,538784.5,2923.12,NA,129.07,126.89,150.47,NA,NA,NA,32677
GIB,Gibraltar,2023,546092.3,3002.84,NA,NA,NA,NA,NA,NA,NA,32677
GIB,Gibraltar,2024,546092.3,3002.84,NA,NA,NA,NA,NA,NA,NA,32677
GIN,Guinea,2020,972.88,5.69,NA,NA,NA,NA,NA,NA,53.82737569060775,13859349
GIN,Guinea,2021,2214.85,27.68,NA,14.62,6.68,NA,NA,NA,61.46356164383562,13859349
GIN,Guinea,2022,2718.65,33.16,NA,43.92,23.77,1.62,NA,NA,43.57789041095887,13859349
GIN,Guinea,2023,2744.34,33.3,NA,62.89,42.24,3.07,NA,NA,NA,13859349
GIN,Guinea,2024,2744.34,33.3,NA,NA,NA,NA,NA,NA,NA,13859349
GLP,Guadeloupe,2020,22406.9,402.91,506,NA,NA,NA,NA,NA,NA,395762
GLP,Guadeloupe,2021,145033.97,2160.11,2892.01,NA,NA,NA,NA,NA,NA,395762
GLP,Guadeloupe,2022,519850.38,2596.81,3655.23,NA,NA,NA,NA,NA,NA,395762
GLP,Guadeloupe,2023,528290.6,2654,3786.34,NA,NA,NA,NA,NA,NA,395762
GLP,Guadeloupe,2024,528290.6,2654,NA,NA,NA,NA,NA,NA,NA,395762
GMB,Gambia,2020,1438.28,46.65,NA,NA,NA,NA,NA,NA,53.39143646408842,2705995
GMB,Gambia,2021,3844.53,129.72,NA,9.72,9.22,NA,NA,NA,32.04315068493149,2705995
GMB,Gambia,2022,4773.8,141.1,NA,20.28,16.79,1.15,NA,NA,13.745287671232877,2705995
GMB,Gambia,2023,4788.97,141.1,NA,24.92,19.93,1.99,NA,NA,NA,2705995
GMB,Gambia,2024,4789.35,141.1,NA,NA,NA,NA,NA,NA,NA,2705995
GNB,Guinea-Bissau,2020,1162.17,21.37,NA,NA,NA,NA,NA,NA,NA,2105580
GNB,Guinea-Bissau,2021,3070.95,70.77,NA,18.56,1.1,NA,NA,NA,NA,2105580
GNB,Guinea-Bissau,2022,4249.27,83.59,NA,25.82,17.16,0.04,NA,NA,NA,2105580
GNB,Guinea-Bissau,2023,4566.06,84.06,NA,35.48,26.01,3.63,NA,NA,NA,2105580
GNB,Guinea-Bissau,2024,4566.06,84.06,NA,NA,NA,NA,NA,NA,NA,2105580
GNQ,Equatorial Guinea,2020,2903.16,47.68,NA,NA,NA,NA,NA,NA,NA,1674916
GNQ,Equatorial Guinea,2021,7557.32,97.03,NA,14.88,12.14,NA,NA,NA,NA,1674916
GNQ,Equatorial Guinea,2022,9475.2,101.47,NA,16.13,12.78,0.27,NA,NA,NA,1674916
GNQ,Equatorial Guinea,2023,9497.94,101.47,NA,NA,NA,NA,NA,NA,NA,1674916
GNQ,Equatorial Guinea,2024,9497.94,101.47,NA,NA,NA,NA,NA,NA,NA,1674916
GRC,Greece,2020,13415.82,449.65,568.73,0.02,NA,NA,NA,NA,55.11599447513813,10384972
GRC,Greece,2021,104210.23,1969.27,2278.05,71.92,67.8,33.99,NA,NA,72.27019178082192,10384972
GRC,Greece,2022,482417.5,3359.05,3676.79,76.38,73.6,67.6,NA,NA,30.84449315068499,10384972
GRC,Greece,2023,534969.6,3689.9,3771.55,76.43,73.63,70.24,NA,NA,NA,10384972
GRC,Greece,2024,544892.3,3770.28,NA,76.44,73.64,71.85,NA,NA,NA,10384972
GRD,Grenada,2020,992.06,0,NA,NA,NA,NA,NA,NA,NA,125459
GRD,Grenada,2021,50937.33,1710.45,NA,32.91,28.26,NA,NA,NA,NA,125459
GRD,Grenada,2022,168137.66,2035.44,NA,35.21,31.07,5.86,NA,NA,NA,125459
GRD,Grenada,2023,168419.88,2035.44,NA,35.26,31.11,5.91,NA,NA,NA,125459
GRD,Grenada,2024,168419.88,2035.44,NA,NA,NA,NA,NA,NA,NA,125459
GRL,Greenland,2020,464.17,0,-485.29,NA,NA,NA,NA,NA,34.98870165745857,56494
GRL,Greenland,2021,38222.59,17.85,-1030.82,71.6,67.36,NA,NA,NA,40.23791780821918,56494
GRL,Greenland,2022,213714.42,374.91,-1901.09,72.98,68.17,NA,NA,NA,17.36728767123289,56494
GRL,Greenland,2023,213714.42,374.91,-2936.45,NA,NA,NA,NA,NA,NA,56494
GRL,Greenland,2024,213714.42,374.91,NA,NA,NA,NA,NA,NA,NA,56494
GTM,Guatemala,2020,7573.51,266.87,620.81,NA,NA,NA,NA,NA,64.75279005524861,17843914
GTM,Guatemala,2021,35019.8,901.79,2470.82,36.62,26.27,0.5,NA,NA,53.60690410958904,17843914
GTM,Guatemala,2022,66990.83,1120.02,2937.7,49.63,39.38,22.82,NA,NA,42.69161643835617,17843914
GTM,Guatemala,2023,70053.54,1131.84,2893.98,50.07,39.94,24.11,NA,NA,NA,17843914
GTM,Guatemala,2024,70057.12,1131.96,NA,NA,NA,NA,NA,NA,NA,17843914
GUF,French Guiana,2020,42816.59,238,-250.88,NA,NA,NA,NA,NA,NA,304568
GUF,French Guiana,2021,158317.11,1129.66,723.45,NA,NA,NA,NA,NA,NA,304568
GUF,French Guiana,2022,327756.53,1384.42,820.18,NA,NA,NA,NA,NA,NA,304568
GUF,French Guiana,2023,328644.84,1384.42,1014.22,NA,NA,NA,NA,NA,NA,304568
GUF,French Guiana,2024,328644.84,1384.42,NA,NA,NA,NA,NA,NA,NA,304568
GUM,Guam,2020,42943.71,732.48,NA,NA,NA,NA,NA,NA,0,171783
GUM,Guam,2021,92376.8,1634.45,NA,NA,NA,NA,NA,NA,NA,171783
GUM,Guam,2022,302300.94,2488,NA,NA,NA,NA,NA,NA,NA,171783
GUM,Guam,2023,316520.7,2536.43,NA,NA,NA,NA,NA,NA,NA,171783
GUM,Guam,2024,316520.7,2536.43,NA,NA,NA,NA,NA,NA,NA,171783
GUY,Guyana,2020,7654.24,197.17,NA,NA,NA,NA,NA,NA,62.513618784530344,808727
GUY,Guyana,2021,47517.39,1268.2,NA,50.76,36.37,1.37,NA,NA,63.20079452054794,808727
GUY,Guyana,2022,87634.91,1565.17,NA,61.01,47,9.91,NA,NA,31.539835616438356,808727
GUY,Guyana,2023,89678.4,1580.99,NA,61.24,47.23,10.25,NA,NA,NA,808727
GUY,Guyana,2024,90603.38,1584.64,NA,NA,NA,NA,NA,NA,NA,808727
HKG,Hong Kong,2020,NA,NA,209.12,NA,NA,NA,NA,NA,58.538720238095244,7488863
HKG,Hong Kong,2021,NA,NA,427.78,65.11,62.25,5.17,NA,NA,65.32454794520547,7488863
HKG,Hong Kong,2022,NA,NA,2211.58,92.25,90.64,88.7,NA,NA,53.586931506849304,7488863
HKG,Hong Kong,2023,NA,NA,2878.98,92.38,90.83,96.19,NA,NA,NA,7488863
HKG,Hong Kong,2024,NA,NA,NA,92.41,90.85,97.36,NA,NA,NA,7488863
HND,Honduras,2020,11339.86,292.53,NA,NA,NA,NA,NA,NA,72.56232044198896,10432858
HND,Honduras,2021,36226.81,996.67,NA,47.11,41.18,3.62,NA,NA,84.02035616438356,10432858
HND,Honduras,2022,44312.91,1057.26,NA,61.76,55.19,43.05,NA,NA,32.72901369863015,10432858
HND,Honduras,2023,45178.93,1062.13,NA,63.23,56.11,46.7,NA,NA,NA,10432858
HND,Honduras,2024,45193.18,1062.13,NA,NA,NA,NA,NA,NA,NA,10432858
HRV,Croatia,2020,52293.41,924.74,1209.51,0.2,NA,NA,NA,738.4,43.851519337016576,4030361
HRV,Croatia,2021,177398.64,3142.8,4073.85,56.06,48.47,NA,NA,677.11,40.75468493150685,4030361
HRV,Croatia,2022,322947.53,4482.94,5691.97,57.58,55.84,14.76,NA,553.05,16.057753424657516,4030361
HRV,Croatia,2023,335223.3,4782.92,5993.57,57.64,55.87,NA,NA,NA,NA,4030361
HRV,Croatia,2024,337121.47,4799.55,NA,NA,NA,NA,NA,NA,NA,4030361
HTI,Haiti,2020,855.91,20.43,NA,NA,NA,NA,NA,NA,45.592486187845296,11585003
HTI,Haiti,2021,2257.9,66.59,NA,1.07,0.64,NA,NA,NA,49.04545205479452,11585003
HTI,Haiti,2022,2947.95,74.76,NA,3.44,2.05,NA,NA,NA,38.30750684931506,11585003
HTI,Haiti,2023,2975.42,74.76,NA,4.5,3.16,NA,NA,NA,NA,11585003
HTI,Haiti,2024,2995.24,74.76,NA,NA,NA,NA,NA,NA,NA,11585003
HUN,Hungary,2020,32636.31,934.19,1023.49,NA,NA,NA,NA,NA,47.69422651933703,9967304
HUN,Hungary,2021,127766.52,3955.58,3645.22,62.87,60.01,31.87,NA,NA,48.198438356164424,9967304
HUN,Hungary,2022,225252.98,5001.8,4209.28,64.42,62.28,43.31,NA,NA,14.228136986301363,9967304
HUN,Hungary,2023,229976.11,5058.8,3964.19,NA,NA,NA,NA,NA,NA,9967304
HUN,Hungary,2024,230352.08,5065.21,NA,NA,NA,NA,NA,NA,NA,9967304
IDN,Indonesia,2020,2558.42,76.17,NA,NA,NA,NA,NA,NA,55.64469613259669,275501344
IDN,Indonesia,2021,15284.41,516.64,NA,58.47,41.26,NA,NA,NA,68.63630136986302,275501344
IDN,Indonesia,2022,24086.76,575.75,NA,73.89,62.63,24.34,NA,NA,39.67134246575342,275501344
IDN,Indonesia,2023,24465.65,580.9,NA,74.2,63.51,25.17,NA,NA,NA,275501344
IDN,Indonesia,2024,24493.01,581.21,NA,NA,NA,NA,NA,NA,NA,275501344
IMN,Isle of Man,2020,4480.41,415.95,NA,NA,NA,NA,NA,NA,NA,84534
IMN,Isle of Man,2021,165347.5,796.25,NA,81.38,77.43,51.54,NA,NA,NA,84534
IMN,Isle of Man,2022,451701.84,1378.59,NA,82.29,79.38,63.08,NA,NA,NA,84534
IMN,Isle of Man,2023,451701.84,1378.59,NA,NA,NA,NA,NA,NA,NA,84534
IMN,Isle of Man,2024,451701.84,1378.59,NA,NA,NA,NA,NA,NA,NA,84534
IND,India,2020,7147.25,103.56,NA,NA,NA,NA,NA,NA,65.48220994475138,1417173120
IND,India,2021,24404.54,336.52,NA,59.67,42.57,NA,NA,NA,67.12400000000001,1417173120
IND,India,2022,31343.05,372.31,NA,72.48,67.12,15.71,NA,NA,41.68610958904111,1417173120
IND,India,2023,31578.81,374.18,NA,72.5,67.18,16.04,NA,NA,NA,1417173120
IND,India,2024,31598.86,374.36,NA,72.5,67.18,16.05,NA,NA,NA,1417173120
IRL,Ireland,2020,16668.45,436.4,263.44,NA,NA,NA,NA,175.39,57.16845303867403,5023108
IRL,Ireland,2021,136221.38,1184.73,887.37,78.37,77.33,45.39,NA,386.41,58.556520547945205,5023108
IRL,Ireland,2022,330677.03,1651.07,1475.12,81.78,80.88,63.31,18.32,320.52,12.490301369863005,5023108
IRL,Ireland,2023,338346.1,1849.7,2103.71,81.85,80.93,63.9,2.79,146.72,NA,5023108
IRL,Ireland,2024,341503.62,1906.84,NA,81.87,80.94,63.94,NA,NA,NA,5023108
IRN,Iran,2020,13347.93,609.6,1311.49,NA,NA,NA,NA,NA,48.711823204419915,88550568
IRN,Iran,2021,69064.02,1467.18,2862.21,67.19,57.81,4.26,NA,NA,73.56334246575342,88550568
IRN,Iran,2022,84454.56,1616.02,3064.13,73.53,66.08,31.88,NA,NA,56.297972602739726,88550568
IRN,Iran,2023,85177.62,1639.3,NA,73.63,66.16,35.41,NA,NA,NA,88550568
IRN,Iran,2024,85204.44,1640.19,NA,NA,NA,NA,NA,NA,NA,88550568
IRQ,Iraq,2020,13405.3,289.7,NA,NA,NA,NA,NA,NA,65.39522099447514,44496124
IRQ,Iraq,2021,47476.41,547.35,NA,19.06,12.67,NA,NA,NA,70.81345205479454,44496124
IRQ,Iraq,2022,55941.5,575.76,NA,25.47,17.85,0.62,NA,NA,39.63019178082193,44496124
IRQ,Iraq,2023,55945.4,575.78,NA,25.47,17.85,0.62,NA,NA,NA,44496124
IRQ,Iraq,2024,55945.4,575.78,NA,NA,NA,NA,NA,NA,NA,44496124
ISL,Iceland,2020,15098.54,73.61,40.91,1.31,NA,NA,NA,NA,39.83737569060772,372903
ISL,Iceland,2021,63638.37,97.27,131.77,77.3,76.14,53.88,NA,NA,38.05687671232877,372903
ISL,Iceland,2022,544769.8,489,1134.61,83.07,77.82,67.19,NA,NA,14.358794520547919,372903
ISL,Iceland,2023,551547.44,489,1814.98,NA,NA,NA,NA,NA,NA,372903
ISL,Iceland,2024,553080.2,489,NA,NA,NA,NA,NA,NA,NA,372903
ISR,Israel,2020,43842.55,356.14,302.94,10.5,0,NA,30.16,208.17,58.6888397790055,9449000
ISR,Israel,2021,149922.7,906.39,808.19,69.65,62.89,45.11,44.45,262.46,51.76079452054794,9449000
ISR,Israel,2022,522534.2,1321.08,1356.29,71.14,65.18,60.63,38.95,393.06,20.001534246575314,9449000
ISR,Israel,2023,531855.56,1395.89,1603.6,71.15,65.19,61.03,6.77,74.4,NA,9449000
ISR,Israel,2024,531855.56,1395.89,NA,NA,NA,NA,NA,NA,NA,9449000
ITA,Italy,2020,34203.5,1201.41,1674.2,0.07,NA,NA,68.9,652.25,65.35964088397789,59037472
ITA,Italy,2021,94305.86,2290.04,2820.81,82.13,75.73,33.38,63.4,560.32,64.68668493150685,59037472
ITA,Italy,2022,420343.5,3089.08,4042.48,86.27,81.2,79.67,29.08,368.04,27.486191780821933,59037472
ITA,Italy,2023,447199.25,3280.49,4421.99,86.28,81.21,80.91,5.42,142.44,NA,59037472
ITA,Italy,2024,449202.94,3309.46,NA,NA,NA,NA,4.27,114.5,NA,59037472
JAM,Jamaica,2020,4467.53,103.55,-231.1,NA,NA,NA,NA,NA,64.7306906077348,2827382
JAM,Jamaica,2021,32529.09,867.16,1801.89,25.2,20.05,0.17,NA,NA,73.64923287671233,2827382
JAM,Jamaica,2022,53815.73,1219.73,1740.76,29.83,26.3,1.61,NA,NA,24.239424657534304,2827382
JAM,Jamaica,2023,55173.54,1267.28,NA,30.41,26.88,1.63,NA,NA,NA,2827382
JAM,Jamaica,2024,55361.97,1271.86,NA,NA,NA,NA,NA,NA,NA,2827382
JEY,Jersey,2020,25537.96,396.16,NA,NA,NA,NA,NA,NA,NA,110796
JEY,Jersey,2021,168823.02,859.96,NA,73.53,69.49,46.46,NA,NA,NA,110796
JEY,Jersey,2022,631791.5,1410.72,NA,76.12,73.86,66.45,NA,NA,NA,110796
JEY,Jersey,2023,641502.3,1555.66,NA,76.14,73.9,66.48,NA,NA,NA,110796
JEY,Jersey,2024,641502.3,1555.66,NA,NA,NA,NA,NA,NA,NA,110796
JOR,Jordan,2020,25439.69,331.28,418.08,NA,NA,NA,NA,NA,58.9346961325967,11285875
JOR,Jordan,2021,93407.6,1105.52,1349.3,38.38,34.86,NA,NA,NA,50.423452054794524,11285875
JOR,Jordan,2022,155202.16,1254.59,1475.29,42.72,40.39,6.04,NA,NA,15.01994520547946,11285875
JOR,Jordan,2023,155202.16,1254.59,NA,NA,NA,NA,NA,NA,NA,11285875
JOR,Jordan,2024,155202.16,1254.59,NA,NA,NA,NA,NA,NA,NA,11285875
JPN,Japan,2020,1738.53,25.7,-223.59,NA,NA,NA,8.92,93.46,32.92762430939226,123951696
