Figure,File_Size_KB,Created
Figure_1_Alternative_Research_Design_Workflow.pdf,96.7578125,2025-11-02T18:39:57Z
Figure_1_Alternative_Research_Design_Workflow.svg,14.5478515625,2025-11-02T18:39:57Z
Figure_1_Professional_Workflow.pdf,74.1650390625,2025-11-02T18:41:31Z
Figure_1_Professional_Workflow.svg,15.328125,2025-11-02T18:41:31Z
Figure_1_Research_Design_Workflow.pdf,3.5263671875,2025-11-06T08:24:20Z
Figure_1_Simplified_Workflow.pdf,23.2314453125,2025-11-02T18:40:46Z
Figure_2_Main_Findings.pdf,8.158203125,2025-11-06T08:24:21Z
Figure_2_Panel_A_Methods_Comparison.pdf,21.8515625,2025-10-25T16:18:11Z
Figure_2_Panel_B_Coefficient_Trajectory.pdf,21.8212890625,2025-10-25T16:18:11Z
Figure_2_Panel_C_Methods_Comparison.pdf,21.5234375,2025-10-25T16:18:12Z
Figure_2_Panel_D_Diagnostic_Tests.pdf,22.9677734375,2025-10-25T16:18:12Z
Figure_3_Development_Heterogeneity.pdf,3.7412109375,2025-11-05T16:51:26Z
Figure_3_Panel_A_Income_Effect.pdf,21.482421875,2025-10-25T11:15:40Z
Figure_3_Panel_B_Spending_Gap.pdf,17.177734375,2025-10-25T11:15:40Z
Figure_3_Panel_C_Policy_Matrix.pdf,16.6279296875,2025-10-25T11:15:40Z
Figure_3_Panel_D_Regional_Effect.pdf,22.607421875,2025-10-25T11:15:40Z
Figure_4_Policy_Optimization.pdf,8.5380859375,2025-11-06T08:24:21Z
Figure_Causal_Framework_Flowchart_English.pdf,41.8447265625,2025-11-02T13:06:18Z
Figure_Causal_Framework_Flowchart_English.svg,9.55859375,2025-11-02T13:06:18Z
Figure_ML_Algorithm_Comparison.pdf,20.380859375,2025-11-02T17:48:56Z
Figure_ML_Interpretability_Analysis.pdf,7.740234375,2025-11-02T17:48:56Z
Figure_ML_Marginal_Effects_Curve.pdf,15.671875,2025-11-02T17:48:56Z
Figure_ML_SHAP_Importance.pdf,19.0986328125,2025-11-02T17:48:56Z
Figure_S1B_Data_Consistency_Heatmap_backup.pdf,7.6201171875,2025-11-02T12:05:59Z
Figure_S1_Data_Coverage.pdf,4.603515625,2025-11-06T08:24:21Z
Figure_S1_Panel_A_Regional_Coverage.pdf,574.2216796875,2025-10-25T12:34:24Z
Figure_S1_Panel_B_Temporal_Completeness.pdf,21.8408203125,2025-10-25T12:34:24Z
Figure_S1_Three_Panel_Composite_Optimized.pdf,12343.302734375,2025-11-02T11:28:18Z
Figure_S2_Missing_Data_Patterns.pdf,4.8896484375,2025-11-06T08:24:21Z
Figure_S3_Mechanism_Analysis_Pathways.pdf,5.6201171875,2025-10-28T04:31:26Z
Figure_S3_Placeholder.pdf,4.0478515625,2025-11-06T08:24:21Z
Figure_S4_Placeholder.pdf,4.046875,2025-11-06T08:24:21Z
Figure_S4_Sensitivity_Analysis_Tornado.pdf,8.443359375,2025-11-02T18:01:02Z
Figure_S5_Causal_Identification_ML_Validation.pdf,7.1474609375,2025-10-26T12:17:40Z
Figure_S5_Panel_A_IV_Strength.pdf,16.908203125,2025-10-26T12:17:40Z
Figure_S5_Panel_B_Overid_Tests.pdf,20.9501953125,2025-10-26T12:17:40Z
Figure_S5_Panel_C_Exclusion_Tests.pdf,19.0576171875,2025-10-26T12:17:41Z
Figure_S5_Placeholder.pdf,4.046875,2025-11-06T08:24:21Z
Figure_S6_Combined_2x2_Panel.pdf,35.8916015625,2025-11-03T04:04:22Z
Figure_S6_Placeholder.pdf,4.0478515625,2025-11-06T08:24:21Z
Figure_S7_Placeholder.pdf,4.0478515625,2025-11-06T08:24:21Z
Figure_S7_Stratified_Slope_Analysis.pdf,9.2802734375,2025-10-26T17:09:42Z
